STATECD,VALUE,MEANING,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
51,2,Southern Piedmont,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
51,3,Northern Piedmont,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
51,4,Northern Mountains,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
51,5,Southern Mountains,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
53,5,Puget Sound,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
53,6,Olympic Peninsula,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
53,7,Southwest,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
53,8,Central,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
53,9,Inland Empire,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
54,2,Northeastern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
54,3,Southern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
54,4,Northwestern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
55,1,Northeastern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
55,2,Northwestern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
55,3,Central,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
55,4,Southwestern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
55,5,Southeastern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
56,1,Western,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
56,2,Central and Southeastern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
56,3,Northeastern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
60,1,American Samoa,FS_NIMS_NRS,2013-10-30 09:02:01,440,,,
64,1,Federated States of Micronesia,FS_NIMS_NRS,2013-10-30 09:02:01,440,,,
66,1,Guam,FS_NIMS_NRS,2013-10-30 09:02:01,440,,,
68,1,Marshall Islands,FS_NIMS_NRS,2013-10-30 09:02:01,440,,,
69,1,Northern Mariana Islands,FS_NIMS_NRS,2013-10-30 09:02:01,440,,,
70,1,Palau,FS_NIMS_NRS,2013-10-30 09:02:01,440,,,
72,1,Mainland Puerto Rico,NIMS_2_1,2005-02-24 09:42:36,333,FS_NIMS_RMRS,2012-06-21 10:19:07,440
72,2,Vieques,NIMS_PROD_BC,2009-06-17 13:43:44,440,FS_NIMS_RMRS,2012-06-21 10:19:07,440
72,3,Culebra,NIMS_PROD_BC,2009-06-17 13:43:44,440,FS_NIMS_RMRS,2012-06-21 10:19:07,440
78,1,St. Croix,NIMS_4_0,2008-10-29 08:24:49,440,NIMS_PROD_BC,2009-06-17 13:43:44,440
78,2,St. John,NIMS_PROD_BC,2009-06-17 13:43:44,440,,,
78,3,St. Thomas,NIMS_PROD_BC,2009-06-17 13:43:44,440,,,
