PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,BLDG_INTERACTION_ID,DISTANCE_CD,AZIMUTH,ITREE_ECO_VERSION,ELEC_AVOID_VALUE_SUM,ELEC_AVOID_SUM,FUEL_AVOID_VALUE_SUM,FUEL_AVOID_SUM,CARBON_AVOID_VALUE_SUM,CARBON_AVOID_SUM,COOLING_CLIMATE_C_ELEC_AVOID,COOLING_CLIMATE_ELEC_AVOID,COOLING_SHADING_C_ELEC_AVOID,COOLING_SHADING_ELEC_AVOID,HEATING_CLIMATE_FUEL_AVOID,HEATING_CLIMATE_C_FUEL_AVOID,HEATING_CLIMATE_C_ELEC_AVOID,HEATING_CLIMATE_ELEC_AVOID,HEATING_SHADING_FUEL_AVOID,HEATING_SHADING_C_FUEL_AVOID,HEATING_SHADING_C_ELEC_AVOID,HEATING_SHADING_ELEC_AVOID,HEATING_WINDBREAK_FUEL_AVOID,HEATING_WINDBREAK_C_FUEL_AVOID,HEATING_WINDBREAK_C_ELEC_AVOID,HEATING_WINDBREAK_ELEC_AVOID,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN
1856929,1,17,3,31,23329,1,1,4,2,,,6.0.35,4.115216282,29.97244197,21.95828338,2597457.626,13.16796174,566.1954782,8.880205164,7.995073069,-0.214804611,-0.193394018,329840.5812,67.671413,3.088668884,2.780806633,-1385.423576,-0.284239043,-0.012940205,-0.011650394,2269002.468,465.5176224,21.54955262,19.40160668,785698821290487,352769611489998,785698791290487,785698785290487,785698810290487,
1854669,1,17,3,31,23592,1,1,1,1,,,6.0.35,4.497967435,32.76014155,-13.35340344,-1579581.563,-6.690695842,-287.6862651,5.030047367,4.52867873,46.14718913,41.54748029,522429.2356,107.1836717,4.843080422,4.360347665,-2102010.799,-431.2569436,-19.63331012,-17.67636514,0.0,0.0,0.0,0.0,785693677290487,352769614489998,785693645290487,785693638290487,785693663290487,
1854669,1,17,3,31,23592,1,1,1,3,,,6.0.35,0.942383522,6.863681881,2.286461935,270466.8615,1.467828305,63.11362118,5.030047367,4.52867873,0.103822229,0.093473776,522429.2356,107.1836717,4.843080422,4.360347665,-251962.3741,-51.69360852,-2.353392014,-2.118818289,0.0,0.0,0.0,0.0,785693679290487,352769614489998,785693645290487,785693638290487,785693663290487,
1854669,1,17,3,31,23592,1,1,4,3,,,6.0.35,1.310642172,9.545827909,4.393067298,519658.3885,2.726125614,117.2178372,5.030047367,4.52867873,0.755396219,0.680102301,522429.2356,107.1836717,4.843080422,4.360347665,-2770.847152,-0.568478085,-0.02588041,-0.023300787,0.0,0.0,0.0,0.0,785693691290487,352769614489998,785693645290487,785693638290487,785693666290487,
1837455,4,17,3,197,20165,1,1,3,2,,,6.0.35,1.725478904,12.56721707,1.752680508,207325.5578,1.313882612,56.49427058,9.882856346,8.89778526,2.148046078,1.933940155,212867.2521,43.67269692,1.979388228,1.782093232,-5541.694304,-1.13695617,-0.05176082,-0.046601574,0.0,0.0,0.0,0.0,785695457290487,352769621489998,785695426290487,785695423290487,785695440290487,
1837455,4,17,3,197,20165,1,1,4,2,,,6.0.35,1.725478904,12.56721707,1.752680508,207325.5578,1.313882612,56.49427058,9.882856346,8.89778526,2.148046078,1.933940155,212867.2521,43.67269692,1.979388228,1.782093232,-5541.694304,-1.13695617,-0.05176082,-0.046601574,0.0,0.0,0.0,0.0,785695459290487,352769621489998,785695426290487,785695423290487,785695441290487,
1852442,4,17,3,31,20004,1,2,5,2,,,6.0.35,0.703459903,5.12352442,0.890995689,105396.3785,0.635246219,27.31429085,4.936213328,4.444197574,-0.225544847,-0.203063724,106366.175,21.82250993,0.989137905,0.890545847,-969.7965031,-0.19896733,-0.009058144,-0.008155275,0.0,0.0,0.0,0.0,785698315290487,352769622489998,785698266290487,785698262290487,785698293290487,
1857132,1,17,3,31,23612,1,1,4,2,,,6.0.35,6.543864166,47.66106458,-9.502588235,-1124066.479,-4.132297741,-177.6803686,9.851764607,8.869792582,53.59375129,48.25180835,212867.2521,43.67269692,1.979388228,1.782093232,-1336933.731,-274.2906719,-12.48729766,-11.24262958,0.0,0.0,0.0,0.0,707805287126144,352769670489998,707805244126144,707805238126144,707805264126144,
1857132,1,17,3,31,23612,1,1,4,3,,,6.0.35,1.506492032,10.97226535,1.635560129,193471.3227,1.206577085,51.88035194,9.851764607,8.869792582,0.53701152,0.483485039,212867.2521,43.67269692,1.979388228,1.782093232,-19395.92944,-3.979346468,-0.181162865,-0.163105504,0.0,0.0,0.0,0.0,707805288126144,352769670489998,707805244126144,707805238126144,707805264126144,
1857132,1,17,3,31,23612,1,1,5,3,,,6.0.35,1.782886234,12.9853331,-5.672751643,-671032.9655,-2.866388895,-123.248872,9.851764607,8.869792582,10.84763311,9.766398152,212867.2521,43.67269692,1.979388228,1.782093232,-883900.2177,-181.3445043,-8.255850585,-7.432950868,0.0,0.0,0.0,0.0,707805292126144,352769670489998,707805244126144,707805238126144,707805265126144,
1857771,1,17,3,31,22053,1,1,3,3,,,6.0.35,1.035685518,7.543230282,-6.843955913,-809575.3739,-3.668020225,-157.717383,9.826891216,8.84739844,6.121931118,5.511729258,212867.2521,43.67269692,1.979388228,1.782093232,-1022442.626,-209.7684189,-9.549871562,-8.597990647,0.0,0.0,0.0,0.0,707806191126144,352769673489998,707806159126144,707806153126144,707806179126144,
