SAMPLE_NAME,REPORT_YEAR,ATTRIBUTE_NAME,CALCULATION_NAME,ADJUSTMENT_EXPRESSION,REQUIRED_SAMPLE_CONSTRAINT,DOMAIN_TYPE,CN,PSS_CN,PATTR_CN
ChiILUA2022Inv,2022,"Gross total-stem wood volume, live trees","Gross Total-Stem Wood Volume, Live Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620987290487,1490993142290487,1676618354290487
ChiILUA2022Inv,2022,"Sound total-stem wood volume, live trees","Sound Total-Stem Wood Volume, Live Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620991290487,1490993142290487,1676618685290487
CleOHUA2022Cur,2022,"Bole bark and wood biomass, live timber trees","Bole Bark and Wood Biomass, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490773959290487,1490773004290487,552303638126144
ChiILUA2021Cur,2021,"Bole bark and wood biomass, live timber trees","Bole Bark and Wood Biomass, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196330290487,1268180336290487,552303638126144
ChiILUA2021Cur,2021,"Whole-tree biomass, live and dead trees (iTree)","Dry Total Biomass (iTree), Live and Dead Trees",*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1268196337290487,1268180336290487,552303645126144
ChiILUA2021Cur,2021,Annual value of fuel use avoided,Fuel Use Avoided Dollar Value (iTree),*CASE WHEN binta.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN binta.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1268196343290487,1268180336290487,552303651126144
ChiILUA2021Cur,2021,"Area of building cover, in acres",Proportion Building Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1268196356290487,1268180336290487,552303664126144
ChiILUA2021Cur,2021,"Area of shrub/seedling cover, in acres",Proportion Shrub/Seed Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1268196361290487,1268180336290487,552303669126144
ChiILUA2021Cur,2021,"Basal area, live mother trees","Basal Area, Live Mother Trees",*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1302248763290487,1268180336290487,1226802218290487
ChiILUA2021FS,2021,"Belowground biomass, live and dead trees","Belowground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196377290487,1268180337290487,552303636126144
