SAMPLE_NAME,REPORT_YEAR,DOMAIN_NAME,DOMAIN_TYPE,EXPRESSION,CN,PSS_CN,PDOM_CN
AusTXUA2021Cur,2021,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302246809290487,1267606875290487,1268166132290487
AusTXUA2021FS,2021,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1267606971290487,1267606876290487,414427303489998
AusTXUA2021Inv,2021,Invasive Plant Species,INVASIVE,,1301466660290487,1301466652290487,414427307489998
AusTXUA2022Cur,2022,Urban Forest,LAND,,1491024489290487,1491024482290487,414427308489998
AusTXUA2022Cur,2022,Live Seedling,SEEDLING,,1491024494290487,1491024482290487,414427304489998
AusTXUA2022Cur,2022,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1491024492290487,1491024482290487,414427302489998
AusTXUA2022Cur,2022,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1491024493290487,1491024482290487,414427303489998
AusTXUA2022FS,2022,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1491024505290487,1491024483290487,414427302489998
BalMDUA2020FS,2020,Urban Forest,LAND,,1249743124290487,1249738332290487,414427308489998
PorORUA2018Inv,2018,Live Seedling,SEEDLING,,744771525290487,744770879290487,414427304489998
PorORUA2018Inv,2018,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,744771522290487,744770879290487,414427301489998
PorORUA2019Cur,2019,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247251290487,940884073290487,1268170529290487
PorORUA2019Cur,2019,Live Seedling,SEEDLING,,940915669290487,940884073290487,414427304489998
PorORUA2019Cur,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,940915667290487,940884073290487,414427302489998
PorORUA2019FS,2019,Sampled Land,LAND,id_cond.cond_status_cd<5,940915670290487,940884074290487,414427310489998
PorORUA2019FS,2019,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247026290487,940884074290487,1268166839290487
PorORUA2019Inv,2019,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247043290487,940884075290487,1268170529290487
