PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,STEM,MOTHER_TREE,OFFSET_POINT,DIST,AZIMUTH,STATUSCD,TREECLCD,SPCD,SPGRPCD,STANDING_DEAD_CD,UTILCLCD,MORTYR,DIA,DIACHECK,DIAHTCD,LTDMP,TOTAL_LENGTH,ACTUAL_LENGTH,HTCD,ABNORMAL_STEM_TERMINATION,RECONCILECD,BOLE_STUMP_REMOVED,FIELD_PREV_DIA,FIELD_PREV_STATUS_CD,FIELD_PREV_NBR_STEMS,CROWN_CLASS_CD,COMP_CROWN_RATIO,DMG_ROOT_STEM_GIRDLING,DMG_TRUNK_BARK_INCLUSION,DMG_TOPPING_PRUNING,DMG_EXCESS_MULCH,DMG_SIDEWALK_ROOT_CONFLICT,DMG_OVERHEAD_WIRES,DMG_IMPROPER_PLANTING,DAMAGE_AGENT_1,DAMAGE_AGENT_2,DAMAGE_AGENT_3,NBR_STEMS,CULL_FLD,ROUGHCULL,CAUSE_OF_DEATH,DECAYCD,MORTALITY_CD,TREECLCD_NRS,TREECLCD_SRS,TREECLCD_PNWRS,TREECLCD_RMRS,TREE_GRADE,TREE_SITE_INDEX,BASAL_AREA,TPA_UNADJ,CARBON_AG,CARBON_BG,DRYBIO_AG,DRYBIO_BG,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSNET,VOLCSNET_BARK,VOLCSSND,VOLCSSND_BARK,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN,PREV_TRE_CN
1837445,4,17,3,197,20088,11,1,47,48,47.0,,,,1,2.0,681,42,,,,1.8,0.0,1,,14.0,,1.0,,,,,,,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,52.0,0.01767096,74.9652824512,2.782089,0.8443,5.444401,1.65225,,,1.058505,0.549257,,,3.506136,0.879761,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109449,0.045598,0.109449,0.045598,491757225126144,352769774489998,491757120126144,491757118126144,491757175126144,,
1852357,4,17,3,31,20116,1,1,28,28,,,,,1,3.0,901,42,,,,7.8,0.0,1,,45.0,,1.0,,,,,,,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,,,22.0,,,,,3.0,,,,,85.0,0.33182136,6.0180462857,137.503191,22.641748,308.303119,50.766251,172.397513,29.276141,69.198386,10.597297,,,204.394875,34.709858,14.921428,2.533922,,,,,4.147429,1.701392,0.35897,0.14726,0.410802,0.168522,3.525315,1.480211,4.06448,1.701392,0.351791,0.14726,0.402586,0.168522,,,,,,,4.917201,2.017174,4.818857,2.017174,491759105126144,352769758489998,491759035126144,491759034126144,491759070126144,,
1852357,4,17,3,31,20116,1,1,38,38,,,,,1,2.0,951,38,,,,13.0,0.0,1,5.3,63.0,,1.0,,,,,,,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,2.0,89.0,0.921726,6.0180462857,409.194332,64.571694,848.950896,133.966169,470.218031,128.171524,213.119175,17.502305,366.587828,99.924115,499.640306,136.191416,23.013474,6.272988,112.487736,102.286369,,,23.161771,3.244134,1.133587,0.158775,0.315682,0.044216,22.698536,3.211693,22.930153,3.244134,1.122251,0.158775,0.312525,0.044216,18.057205,2.529168,17.696061,2.503876,17.876633,2.529168,24.611039,3.447125,24.364929,3.447125,491759115126144,352769758489998,491759035126144,491759034126144,491759080126144,,
1852371,4,17,3,31,20083,1,1,25,25,,,,,1,3.0,6918,55,,,,7.3,0.0,1,5.2,30.0,,1.0,,,,,,,4.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,,,25.0,,,,,3.0,,,,,56.0,0.29064366,6.0180462857,87.090349,13.523934,183.348104,28.47144,84.950195,16.1928,53.85378,6.858837,,,108.76253,20.731794,12.853186,2.450013,,,,,2.669984,0.743367,0.403976,0.112473,0.344446,0.095899,2.296186,0.654163,2.616584,0.743367,0.395896,0.112473,0.337557,0.095899,,,,,,,3.418405,0.951739,3.350037,0.951739,942211005290487,352769487489998,942210931290487,942210929290487,942210972290487,,
1852371,4,17,3,31,20083,1,1,10,10,,,,,1,3.0,6918,55,,,,5.7,0.0,1,,26.0,,3.0,,,,,,,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,,,1.0,,,,,3.0,,,,,56.0,0.17720046,6.0180462857,46.444157,6.55218,97.777172,13.794064,37.961839,7.637237,27.058008,4.392952,,,58.874647,11.844517,7.813951,1.572026,,,,,1.189444,0.356237,0.244832,0.073327,0.410421,0.122921,1.046711,0.320613,1.165655,0.356237,0.239935,0.073327,0.402213,0.122921,,,,,,,1.844697,0.552484,1.807803,0.552484,942210990290487,352769487489998,942210931290487,942210929290487,942210957290487,,
1852440,4,17,3,31,20158,1,1,17,17,,,,,2,3.0,541,36,1.0,,,8.5,0.0,1,,64.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,60.0,0.3940515,6.0180462857,235.565348,48.119423,501.202868,102.381752,317.334035,43.68059,98.637188,0.0,,,353.857663,48.708017,17.561572,2.417326,,,,,9.566606,2.185533,0.529425,0.12095,0.571645,0.130595,7.461953,1.770282,9.279608,2.185533,0.513542,0.12095,0.554496,0.130595,,,,,,,10.667677,2.437077,10.347646,2.437077,942211376290487,352769489489998,942211318290487,942211316290487,942211349290487,,
1852440,4,17,3,31,20158,1,1,11,11,,,,,1,3.0,681,42,,,,7.0,0.0,1,,58.0,,1.0,,,,,,,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,60.0,0.267246,6.0180462857,138.988633,28.155194,271.993411,55.098227,166.236424,23.596669,39.853458,6.054586,,,203.284448,28.855505,14.012315,1.988998,,,,,5.108242,1.247319,0.430581,0.105138,0.707859,0.172843,4.393088,1.097641,5.006077,1.247319,0.42197,0.105138,0.693702,0.172843,,,,,,,6.246683,1.525301,6.121749,1.525301,942211370290487,352769489489998,942211318290487,942211316290487,942211343290487,,
1852440,4,17,3,31,20158,1,1,12,12,,,,,1,2.0,681,42,,,,10.3,0.0,1,,65.0,,1.0,,,,,,,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,,60.0,0.57861486,6.0180462857,343.392076,66.244893,672.000148,129.637755,437.641018,59.674701,122.674078,12.234041,,,483.41046,65.91561,30.340658,4.137112,,,,,13.227262,2.948998,0.917016,0.204447,0.46632,0.103965,12.962717,2.919508,13.094989,2.948998,0.907846,0.204447,0.461656,0.103965,,,,,,,14.610598,3.257411,14.464492,3.257411,942211371290487,352769489489998,942211318290487,942211316290487,942211344290487,,
1853014,4,17,3,43,20006,1,1,4,6,4.0,,,,1,3.0,660,43,,,,5.3,1.0,1,5.9,23.0,,1.0,,,,,,,4.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,60.0,0.15320286,6.0180462857,42.417437,5.217987,89.867451,11.055057,30.693407,5.543052,26.764109,3.875852,,,53.450491,9.65285,7.832965,1.414588,,,,,0.8129,0.252989,0.207452,0.064563,0.395258,0.123011,0.715352,0.22769,0.796642,0.252989,0.203303,0.064563,0.387353,0.123011,,,,,,,1.415611,0.440563,1.387298,0.440563,491757407126144,352769781489998,491757386126144,491757385126144,491757401126144,,
1852357,4,17,3,31,20116,12,1,1,1,1.0,,,,2,,500,43,1.0,,,2.8,0.0,1,5.4,18.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,85.0,0.04275936,74.9652824512,3.159464,1.08786,6.568532,2.261663,,,0.19831,0.0,,,5.717556,0.652666,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32789,0.120017,0.32789,0.060008,491759117126144,352769758489998,491759037126144,491759034126144,491759082126144,,
