PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,CONDID,FIA_VOLUME_LOCATION_GROUP,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,FIA_LANDUSE,RESERVCD,OWNGRPCD,OWNCD,PHYSCLCD,STDORGCD,STDORGSP,FLDTYPCD,FLDSZCD,FLDAGE,MAPDEN,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,AFFORESTATION_CD,PREV_AFFORESTATION_CD,CHAINING_CD,ITREE_LANDUSE,LAND_COVER_CLASS_CD,PRODUCTIVITY_STATUS,COND_SITECLASS_FLD,DISTURBANCE_CD1,DISTURBANCE_CD2,DISTURBANCE_CD3,DISTURBANCE_YEAR1,DISTURBANCE_YEAR2,DISTURBANCE_YEAR3,TREATMENT_CD1,TREATMENT_CD2,TREATMENT_CD3,TREATMENT_YEAR1,TREATMENT_YEAR2,TREATMENT_YEAR3,CN,PLT_CN,PREV_PLT_CN,INVASIVE_STATUS_CD,INVASIVE_NONSAMPLE_REASON_CD,SITE_CLASS_CD,SITE_CLASS_METHOD,SITE_CLASS_SIT_CN,SITE_INDEX,BALIVE,COVER_CLASS,FOREST_COND_STATUS_CHANGE_CD
1857679,1,17,3,31,21849,2,S23LCS,2,,15,0.0,40.0,46.0,,,,,,,,1,3,3.0,,0.0,,0.0,4.0,,,,,,,,,,,,,,,,785695658290487,352769391489998,,3.0,10.0,,,,,,3.0,
1852325,4,17,3,31,20082,1,S23LCS,5,2.0,14,,40.0,46.0,,,,,,,,1,2,2.0,,,,,,,,,,,,,,,,,,,,,1287852350290487,352769393489998,,,,,,,,,9.0,
1856981,1,17,3,31,23412,2,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,5,5.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,785693065290487,352769399489998,,2.0,,,,,,,9.0,
1856989,1,17,3,31,23458,1,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,10,10.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785693965290487,352769401489998,,2.0,,,,,,,1.0,
1857076,1,17,3,31,23533,2,S23LCS,2,,13,0.0,30.0,32.0,,,,,,,,1,10,10.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,785694003290487,352769403489998,,1.0,,,,,,,1.0,
1855668,1,17,3,31,22170,3,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,50,50.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785697416290487,352769404489998,,1.0,,,,,,298.4056,1.0,
1856897,1,17,3,31,23307,3,S23LCS,2,,15,0.0,40.0,46.0,,,,,,,,1,2,2.0,,0.0,,0.0,4.0,,,,,,,,,,,,,,,,785697462290487,352769411489998,,1.0,,,,,,,3.0,
1852398,4,17,3,31,20104,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,25,,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,1287852797290487,352769413489998,,2.0,,,,,,,1.0,
1837462,4,17,3,197,20107,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,1287855254290487,352769417489998,,3.0,10.0,,,,,,3.0,
1853004,4,17,3,43,20036,1,S23LCS,1,,10,1.0,30.0,32.0,25.0,0.0,,703.0,1.0,20.0,1.0,1,80,80.0,,0.0,,0.0,5.0,,1.0,6.0,,,,,,,,,,,,,1287852878290487,352769425489998,,1.0,,6.0,6.0,,,106.337,1.0,
