PROJECT_NAME,LOAD_TYPE,BEGIN_INVYR_LOADED,END_INVYR_LOADED,LATEST_LOAD_DATE,CURRENT_CDS,RECORDS_LOADED,CREATED_DATE,MODIFIED_DATE
"FIA-Urban Inventory of Burlington, VT",MODELED,2016,2022,2024-08-22 13:35:10,FIA Urban-10,60.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Burlington, VT",PROJECT,2016,2022,2024-11-08 09:09:08,FIA Urban-10,7.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Burlington, VT",INVENTORY,2016,2022,2024-08-22 14:12:25,FIA Urban-10,211.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Burlington, VT",STAT_SAMP,2016,2022,2024-11-08 09:10:34,FIA Urban-10,4.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Burlington, VT",ITREE_DATA,2016,2022,2024-10-08 14:27:22,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Des Moines, IA",MODELED,2015,2022,2024-11-13 13:48:27,FIA Urban-10,63.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Des Moines, IA",PROJECT,2015,2022,2024-11-08 09:09:08,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Des Moines, IA",INVENTORY,2015,2022,2024-08-22 14:41:29,FIA Urban-10,254.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Des Moines, IA",STAT_SAMP,2015,2022,2024-11-08 09:10:35,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Des Moines, IA",ITREE_DATA,2015,2022,2024-10-29 14:35:07,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Pittsburgh, PA",MODELED,2016,2022,2024-09-11 09:04:38,FIA Urban-10,65.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Pittsburgh, PA",PROJECT,2016,2022,2024-11-08 09:09:09,FIA Urban-10,7.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Pittsburgh, PA",INVENTORY,2016,2022,2024-09-12 09:27:38,FIA Urban-10,311.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Pittsburgh, PA",STAT_SAMP,2016,2022,2024-11-08 09:11:03,FIA Urban-10,4.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Pittsburgh, PA",ITREE_DATA,2016,2022,2024-10-08 14:51:32,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Providence, RI",MODELED,2015,2022,2024-08-22 13:35:10,FIA Urban-10,65.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Providence, RI",PROJECT,2015,2022,2024-11-08 09:09:10,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Providence, RI",INVENTORY,2015,2022,2024-08-23 06:47:07,FIA Urban-10,368.0,2024-12-05 07:40:43,2025-05-08 07:27:43
