PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,CONDPROP_UNADJ,PCT_TREE_COVER,PCT_SHRUB_SEED_COVER,GR_COV_PCT_BLDG,GR_COV_PCT_IMPERVIOUS,GR_COV_PCT_PERMEABLE,GR_COV_PCT_HERBACEOUS,GR_COV_PCT_WATER,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1856984,1,17,3,31,23409,11,1,1.0,,,,,,,,785694300290487,352769590489998,785694289290487,785694284290487,
1856984,1,17,3,31,23409,14,1,1.0,,,,,,,,785694303290487,352769590489998,785694292290487,785694284290487,
1856995,1,17,3,31,23452,11,1,1.0,,,,,,,,785695145290487,352769593489998,785695137290487,785695134290487,
1856995,1,17,3,31,23452,12,1,1.0,,,,,,,,785695146290487,352769593489998,785695138290487,785695134290487,
1855180,1,17,3,31,21978,13,1,1.0,,,,,,,,785695174290487,352769594489998,785695169290487,785695159290487,
1857644,1,17,3,31,21749,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,785693560290487,352769596489998,785693555290487,785693554290487,
1857125,1,17,3,31,23619,11,1,1.0,,,,,,,,785695191290487,352769597489998,785695183290487,785695181290487,
1857782,1,17,3,31,22042,1,1,0.4585865487,,,,,,,,785695974290487,352769600489998,785695966290487,785695958290487,
1857782,1,17,3,31,22042,1,2,0.5414134513,34.0,0.0,22.0,28.0,18.0,32.0,0.0,785695975290487,352769600489998,785695966290487,785695959290487,
1857874,1,17,3,31,22134,1,2,0.1360179382,28.0,0.0,1.0,5.0,5.0,89.0,0.0,785693605290487,352769604489998,785693596290487,785693592290487,
1857907,1,17,3,31,22182,1,2,0.4554302074,,,,,,,,785697119290487,352769605489998,785697109290487,785697102290487,
1852335,4,17,3,31,20130,1,2,0.1635452176,80.0,0.0,0.0,40.0,0.0,60.0,0.0,785697724290487,352769609489998,785697715290487,785697709290487,
1852335,4,17,3,31,20130,14,1,1.0,,,,,,,,785697729290487,352769609489998,785697719290487,785697708290487,
1856932,1,17,3,31,23326,12,1,1.0,,,,,,,,785698774290487,352769610489998,785698769290487,785698762290487,
