DB_VERSION,DESCRIPTION,START_DATE,RETIRED_DATE,IS_ACTIVE
1.4.0,"This release redesigns the Sampling Frame (SF), Sample Organization (SO), and Geospatial (GEO) modules in UNIMS.  It drops the concepts of Product Line and Series, which were difficult to precisely define in favor of Protocol Class and Protocol Group, respectively.  A new post-field GPS review and management policy is officially adopted with a spatial tolerance of 5 meters for GPS coordinates.  Additionally, it implements a new TRACKING table for GPS coordinate status related to Plot Center.  This is the first tracking table in UNIMS.  Furthermore, this release adopts the concept of a ""Forever date"" to identify currently active records.  Finally, it introduces the concept of TYPE tables to define legal values for child tables.  These tables replace the use of LKUP tables to store valid codes used for validation.  This concept only is partially implemented in this release and will be completed incrementally in later releases.",2020-10-01 00:00:00,2021-01-11 00:00:00,N
1.3.1,Minor bug fixes/updates.,2020-02-14 00:00:00,2020-02-21 00:00:00,N
1.3.3,Updates to presentation database to support documentation. Updates to PPD to support mass data capture. Minor bug fixes and improvements,2020-04-20 00:00:00,2020-05-14 00:00:00,N
1.4.1,"Add rowdependencies option, drop IS_ACTIVE virtual columns, drop backup tables created in 1.4.0.",2021-01-11 00:00:00,2021-02-02 00:00:00,N
1.5.0,Rebuild of compilation system and compilaton output storage tables (CCALC). CCALC tables now contain CMPGRP_CN to allow different outputs to be distinguished. This release also fixes a major error in the calculation of BALIVE and now stores this value at the  condition level. A new generic audit system is implemented with log tables. The initial release of new TAXA tables is deployed and is the first step to replacing REF_SPECIES. Numerous other corrections and improvements included.,2021-02-02 00:00:00,2021-08-12 00:00:00,N
1.5.1,"Reconfiguration of git file structure, naming conventions, Python scripts. This is a git-only release. No database objects were affected.",2021-08-12 08:00:00,2021-10-04 00:00:00,N
1.6.5,This release deploys tools to improve access controls and other fixes.,2024-05-10 00:00:00,2024-09-24 00:00:00,N
1.5.2,Deploy new FS_FIA_CENTRAL schema. Move centralized objects to FS_FIA_CENTRAL and replace with synonyms in other schemas. Refactor ADMIN_SCHEMA_MGMT,2021-10-04 00:00:00,2022-01-25 00:00:00,N
1.5.3,Deploys sample selection algorithm and other fixes and minor improvements,2022-01-25 00:00:00,2022-04-01 00:00:00,N
1.6.0,Deploys the first Urban GRM compilation logic as well as many other improvements,2022-04-01 00:00:00,2022-12-12 00:00:00,N
