PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CENTER_CONDID,REMAINING_CONDID,SUBP_STATUS_CD,SUBP_NONSAMPLE_REASN_CD,SLOPE,ASPECT,WATER_DEPTH,CN,PLT_CN,CENTER_CND_CN,REMAINING_CND_CN,PREV_PLT_CN
1796316,4,17,3,97,20017,14,1,1,2,,,,0.0,1287855387290487,352769421489998,1287855260290487,,
1796349,4,17,3,97,20068,12,2,2,2,,,,0.0,1287852392290487,352769422489998,1287852384290487,,
1852368,4,17,3,31,20079,12,1,1,2,,,,0.0,1287852430290487,352769423489998,1287852424290487,,
1852455,4,17,3,31,20123,12,1,1,1,,7.0,345.0,0.0,1287853833290487,352769424489998,1287853826290487,,
1853004,4,17,3,43,20036,1,1,1,1,,0.0,0.0,0.0,1287852882290487,352769425489998,1287852878290487,1287852878290487.0,
1853004,4,17,3,43,20036,13,1,1,1,,0.0,0.0,0.0,1287852885290487,352769425489998,1287852878290487,,
1795876,4,17,3,89,20006,1,1,1,2,,,,0.0,1287853888290487,352769426489998,1287853886290487,1287853886290487.0,
1852408,4,17,3,31,20178,11,1,1,2,,,,0.0,1287853433290487,352769427489998,1287853426290487,,
1852408,4,17,3,31,20178,12,1,1,2,,,,0.0,1287853434290487,352769427489998,1287853426290487,,
1837465,4,17,3,197,20039,11,1,1,2,,,,0.0,1287852966290487,352769429489998,1287852960290487,,
1852435,4,17,3,31,20141,1,1,1,2,,,,0.0,1287852641290487,352769430489998,1287852636290487,1287852636290487.0,
1837539,4,17,3,197,20162,13,1,1,2,,,,0.0,1287853093290487,352769439489998,1287853086290487,,
1837530,4,17,3,197,20068,1,1,1,2,,,,0.0,1287856545290487,352769440489998,1287855255290487,1287855255290487.0,
1918799,5,18,4,89,20087,14,1,1,4,2.0,,,,1287853124290487,352769442489998,1287853117290487,,
1917627,5,18,4,127,20118,14,1,1,2,,,,0.0,1287855385290487,352769445489998,1287855259290487,,
1852380,4,17,3,31,20088,13,1,1,2,,,,0.0,942211259290487,352769450489998,942211254290487,,
1856817,1,17,3,31,23198,1,1,1,2,,,,0.0,785698603290487,352769451489998,785698598290487,785698598290487.0,
1856845,1,17,3,31,23251,11,1,1,2,,,,0.0,785696545290487,352769453489998,785696541290487,,
1856845,1,17,3,31,23251,14,1,1,2,,,,0.0,785696548290487,352769453489998,785696541290487,,
1857035,1,17,3,31,23466,1,1,1,2,,,,0.0,785694785290487,352769456489998,785694777290487,785694779290487.0,
1857724,1,17,3,31,21965,11,1,1,2,,,,0.0,785698062290487,352769462489998,785698058290487,,
1857876,1,17,3,31,22132,1,1,1,2,,,,0.0,785694847290487,352769463489998,785694840290487,785694840290487.0,
1857876,1,17,3,31,22132,14,1,1,2,,,,0.0,785694851290487,352769463489998,785694840290487,,
1857855,1,17,3,31,22099,11,1,1,2,,,,0.0,785694113290487,352769466489998,785694107290487,,
1856952,1,17,3,31,23360,1,1,1,2,,,,0.0,785697545290487,352769468489998,785697540290487,785697540290487.0,
1856901,1,17,3,31,23303,11,1,1,2,,,,0.0,785694878290487,352769469489998,785694873290487,,
1856872,1,17,3,31,23278,1,1,1,2,,,,0.0,785694167290487,352769470489998,785694164290487,785694164290487.0,
1857338,1,17,3,31,23824,1,1,1,2,,,,0.0,785698106290487,352769471489998,785698100290487,785698100290487.0,
1852320,8,17,3,31,20137,11,1,1,4,2.0,,,,942211434290487,352769472489998,942211430290487,,
1852359,4,17,3,31,20203,14,2,2,2,,,,0.0,942212664290487,352769474489998,942212657290487,,
1837453,4,17,3,197,20077,11,1,1,2,,,,0.0,942212201290487,352769475489998,942212196290487,,
1852406,4,17,3,31,20175,11,1,1,2,,,,0.0,942210841290487,352769478489998,942210835290487,,
1852507,4,17,3,31,20070,12,1,1,2,,,,0.0,942210895290487,352769479489998,942210890290487,,
1852994,4,17,3,43,20200,1,1,1,2,,,,0.0,942211455290487,352769480489998,942211450290487,942211450290487.0,
1852371,4,17,3,31,20083,14,1,1,1,,0.0,0.0,0.0,942210935290487,352769487489998,942210929290487,,
1852440,4,17,3,31,20158,1,1,1,2,,,,0.0,942211318290487,352769489489998,942211316290487,942211316290487.0,
1852440,4,17,3,31,20158,11,1,1,2,,,,0.0,942211319290487,352769489489998,942211316290487,,
1795838,4,17,3,89,20052,11,1,1,1,,0.0,0.0,0.0,942211613290487,352769490489998,942211611290487,,
1795828,4,17,3,89,20099,11,1,1,2,,,,0.0,942211064290487,352769492489998,942211060290487,,
1796088,4,17,3,93,20200,1,1,1,2,,,,0.0,942212270290487,352769493489998,942212264290487,942212266290487.0,
1796088,4,17,3,93,20200,13,3,3,2,,,,0.0,942212274290487,352769493489998,942212266290487,,
1852723,4,17,3,37,20200,14,1,1,2,,,,0.0,942211088290487,352769495489998,942211082290487,,
1796345,4,17,3,97,20075,12,1,1,3,,,,0.0,1092694423290487,352769496489998,1092687117290487,,
1796338,4,17,3,97,20009,13,1,1,3,,,,0.0,1092694861290487,352769497489998,1092687098290487,,
1796338,4,17,3,97,20009,11,1,1,3,,,,0.0,1092693071290487,352769497489998,1092687098290487,,
1797391,4,17,3,111,20005,1,1,1,2,,,,0.0,1092692235290487,352769501489998,1092687166290487,1092687166290487.0,
1795874,4,17,3,89,20030,12,1,1,2,,,,0.0,1092694143290487,352769504489998,1092687352290487,,
1795882,4,17,3,89,20042,1,1,1,1,,0.0,0.0,0.0,942211796290487,352769505489998,942211795290487,942211795290487.0,
1795882,4,17,3,89,20042,12,1,1,1,,0.0,0.0,0.0,942211798290487,352769505489998,942211795290487,,
1789941,4,17,3,63,20056,14,1,1,2,,,,0.0,1092695633290487,352769506489998,1092687083290487,,
1789941,4,17,3,63,20056,11,1,1,2,,,,0.0,1092693147290487,352769506489998,1092687083290487,,
1916222,6,18,4,89,20048,1,1,1,2,,,,0.0,942231667290487,352769508489998,942231665290487,942231665290487.0,
1915977,5,18,4,89,20078,1,1,1,2,,,,0.0,1092692236290487,352769510489998,1092687314290487,1092687314290487.0,
1915977,5,18,4,89,20078,11,1,1,2,,,,0.0,1092693072290487,352769510489998,1092687314290487,,
1852379,4,17,3,31,20204,11,1,1,2,,,,0.0,942082264290487,352769516489998,942082257290487,,
1856878,1,17,3,31,23272,11,1,1,2,,,,0.0,785698698290487,352769518489998,785698695290487,,
1856878,1,17,3,31,23272,13,1,1,2,,,,0.0,785698700290487,352769518489998,785698695290487,,
1856986,1,17,3,31,23407,11,1,1,2,,,,0.0,785693239290487,352769519489998,785693233290487,,
1856866,1,17,3,31,23284,1,1,1,2,,,,0.0,785694913290487,352769520489998,785694906290487,785694906290487.0,
1856866,1,17,3,31,23284,11,1,1,2,,,,0.0,785694914290487,352769520489998,785694906290487,,
1857013,1,17,3,31,23434,1,1,1,2,,,,0.0,785697624290487,352769524489998,785697617290487,785697618290487.0,
1857013,1,17,3,31,23434,14,1,1,2,,,,0.0,785697628290487,352769524489998,785697617290487,,
1857055,1,17,3,31,23500,1,1,1,2,,,,0.0,785695796290487,352769526489998,785695790290487,785695790290487.0,
1857754,1,17,3,31,22016,1,1,1,2,,,,0.0,785693336290487,352769527489998,785693331290487,785693331290487.0,
1857766,1,17,3,31,22004,14,1,1,2,,,,0.0,785693378290487,352769528489998,785693368290487,,
1857740,1,17,3,31,21949,12,1,1,2,,,,0.0,785696784290487,352769532489998,785696780290487,,
1857904,1,17,3,31,22185,1,1,1,2,,,,0.0,785695875290487,352769534489998,785695869290487,785695869290487.0,
1856942,1,17,3,31,23370,1,1,1,2,,,,0.0,785696826290487,352769537489998,785696824290487,785696824290487.0,
1856942,1,17,3,31,23370,13,1,1,2,,,,0.0,785696829290487,352769537489998,785696824290487,,
1856914,1,17,3,31,23344,12,1,1,1,,2.0,0.0,0.0,785696875290487,352769538489998,785696870290487,,
1855305,1,17,3,31,24535,11,1,1,2,,,,0.0,785694250290487,352769540489998,785694247290487,,
1852490,4,17,3,31,20062,12,1,1,1,,0.0,0.0,0.0,942082820290487,352769546489998,942082815290487,,
1852990,4,17,3,43,20043,12,1,1,2,,,,0.0,942083594290487,352769548489998,942083588290487,,
1853018,4,17,3,43,20001,14,1,1,2,,,,0.0,942082350290487,352769549489998,942082342290487,,
1852492,4,17,3,31,20094,13,1,1,2,,,,3.0,942082406290487,352769551489998,942082400290487,,
1852474,4,17,3,31,20039,14,1,1,1,,1.0,0.0,0.0,942083327290487,352769554489998,942083320290487,,
1856903,1,17,3,31,23301,12,1,1,2,,,,0.0,491758825126144,352769752489998,491758821126144,,
1857349,1,17,3,31,23813,1,1,1,2,,,,0.0,491758849126144,352769753489998,491758847126144,491758847126144.0,
1857349,1,17,3,31,23813,11,1,1,2,,,,0.0,491758850126144,352769753489998,491758847126144,,
1852374,4,17,3,31,20055,13,1,1,2,,,,0.0,491758875126144,352769754489998,491758871126144,,
1852346,4,17,3,31,20028,14,1,1,2,,,,0.0,491758892126144,352769755489998,491758886126144,,
