VALUE,MEANING,ABBR,DUFF_DENSITY,DUFF_CARBON_RATIO,LITTER_DENSITY,LITTER_CARBON_RATIO,PILE_DENSITY,PILE_CARBON_RATIO,PILE_DECAY_RATIO,FWD_DENSITY,FWD_CARBON_RATIO,FWD_DECAY_RATIO,FWD_SMALL_QMD,FWD_MEDIUM_QMD,FWD_LARGE_QMD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
800,Maple / beech / birch group,mbb,11.24,0.5,4.37,0.5,23.09,0.5,0.7,23.09,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
900,Aspen / birch group,aspbrch,12.27,0.5,4.77,0.5,23.09,0.5,0.7,23.09,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
910,Alder / maple group,aldrmapl,11.24,0.5,4.37,0.5,23.09,0.5,0.7,23.09,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
920,Western oak group,wstoakg,11.51,0.5,4.47,0.5,31.82,0.5,0.7,31.82,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
940,Tanoak / laurel group,tanoklrl,11.51,0.5,4.47,0.5,39.31,0.5,0.7,39.31,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
950,retired (Other western hardwoods group),,11.51,0.5,4.47,0.5,39.31,0.5,0.7,39.31,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
960,Other hardwoods group,othhwds,11.33,0.5,4.41,0.5,28.08,0.5,0.7,28.08,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
970,Woodland hardwoods group,woodhwdg,11.33,0.5,4.41,0.5,28.08,0.5,0.7,28.08,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
980,Tropical hardwoods group,othtrophwg,11.31,0.5,4.4,0.5,31.2,0.5,0.7,31.2,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
990,Exotic hardwoods group,exhwdsg,11.31,0.5,4.4,0.5,31.2,0.5,0.7,31.2,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
999,Nonstocked,,11.33,0.5,4.41,0.5,28.08,0.5,0.7,28.08,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
